example_id                                                                | status | run_time        |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:1:5]      | passed | 0.03945 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:2:1]      | passed | 0.01459 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:3:1]      | passed | 0.01761 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:2:1:1]      | passed | 0.0117 seconds  |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:2:2:1]      | passed | 0.01295 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:2:1]          | passed | 0.00411 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:1:1]                  | passed | 0.0108 seconds  |
./spec/controllers/spree/users_controller_spec.rb[1:2:1]                  | passed | 0.03606 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:1]              | passed | 0.01688 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:2]              | passed | 0.02953 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:3]              | passed | 0.01407 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:2:1]              | passed | 0.01433 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:3:1:1]            | passed | 0.0137 seconds  |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:3:2:1]            | passed | 0.01396 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:2]                  | passed | 0.04603 seconds |
./spec/helpers/base_helper_spec.rb[1:1]                                   | passed | 0.02016 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                                  | passed | 0.00262 seconds |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                          | passed | 0.00534 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                             | passed | 0.0173 seconds  |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                             | passed | 0.01947 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                             | passed | 0.01824 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                               | passed | 0.06874 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:1]                             | passed | 0.15187 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:2]                             | passed | 0.10876 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:3]                             | passed | 0.1039 seconds  |
./spec/requests/spree/checkout_spec.rb[1:1:4]                             | passed | 0.09137 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:5]                             | passed | 0.09454 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:1]                             | passed | 0.23012 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:1]                         | passed | 0.16263 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:2]                         | passed | 0.15647 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:3]                         | passed | 0.17587 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:4:1]                       | passed | 0.18352 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:1:1]                       | passed | 0.16923 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:2:1]                       | passed | 0.17732 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:2:2]                       | passed | 0.15994 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:3:1]                         | passed | 0.1508 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:1:1]                       | passed | 0.13739 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:2:1]                       | passed | 0.11902 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:3:1]                       | passed | 0.15808 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:1]                         | passed | 0.37909 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:2]                         | passed | 0.20489 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:3]                         | passed | 0.25018 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:3:1]                           | passed | 0.17233 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:3:2]                           | passed | 0.11531 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:4:1]                           | passed | 0.09757 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:5:1]                           | passed | 0.20594 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:6:1:1]                         | passed | 0.10779 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:6:2:1]                         | passed | 0.14185 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:7:1]                           | passed | 0.18845 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:8:1:1]                         | passed | 0.11809 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:8:2:1:1]                       | passed | 0.1233 seconds  |
./spec/requests/spree/checkout_spec.rb[1:3:1:1]                           | passed | 0.20398 seconds |
./spec/requests/spree/checkout_spec.rb[1:3:1:2]                           | passed | 0.10701 seconds |
./spec/requests/spree/checkout_spec.rb[1:4:1]                             | passed | 0.12792 seconds |
./spec/requests/spree/checkout_spec.rb[1:4:2]                             | passed | 0.10145 seconds |
./spec/requests/spree/checkout_spec.rb[1:5:1]                             | passed | 0.14135 seconds |
./spec/requests/spree/checkout_with_views_spec.rb[1:1:1:1]                | passed | 0.25854 seconds |
./spec/requests/spree/current_order_tracking_spec.rb[1:1]                 | passed | 0.16746 seconds |
./spec/requests/spree/current_order_tracking_spec.rb[1:2:1]               | passed | 0.19819 seconds |
./spec/requests/spree/home_spec.rb[1:1]                                   | passed | 0.03126 seconds |
./spec/requests/spree/home_spec.rb[1:2:1]                                 | passed | 0.02913 seconds |
./spec/requests/spree/home_spec.rb[1:2:2:1]                               | passed | 0.0595 seconds  |
./spec/requests/spree/locale_spec.rb[1:1:1:1]                             | passed | 0.01146 seconds |
./spec/requests/spree/locale_spec.rb[1:1:2:1]                             | passed | 0.05033 seconds |
./spec/requests/spree/locale_spec.rb[1:2:1:1]                             | passed | 0.01204 seconds |
./spec/requests/spree/locale_spec.rb[1:2:2:1]                             | passed | 0.01186 seconds |
./spec/requests/spree/locale_spec.rb[1:3:1]                               | passed | 0.01119 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:1]                         | passed | 0.00581 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:1:1]                     | passed | 0.10153 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:2:1]                     | passed | 0.0377 seconds  |
./spec/requests/spree/orders_ability_spec.rb[1:2:3:1]                     | passed | 0.0359 seconds  |
./spec/requests/spree/orders_ability_spec.rb[1:2:4:1]                     | passed | 0.03136 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:5:1]                     | passed | 0.0298 seconds  |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:1:1]                   | passed | 0.17568 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:1:2]                   | passed | 0.05519 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:2:1]                   | passed | 0.05523 seconds |
./spec/requests/spree/orders_spec.rb[1:1:1]                               | passed | 0.09308 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:1]                             | passed | 0.09934 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:2:1]                           | passed | 0.06995 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:3:1]                           | passed | 0.09211 seconds |
./spec/requests/spree/orders_spec.rb[1:1:2:4:1]                           | passed | 0.10186 seconds |
./spec/requests/spree/orders_spec.rb[1:2:1:1]                             | passed | 0.03038 seconds |
./spec/requests/spree/orders_spec.rb[1:2:1:2:1]                           | passed | 0.10132 seconds |
./spec/requests/spree/orders_spec.rb[1:2:2:1]                             | passed | 0.02406 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:1]                             | passed | 0.12636 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:2]                             | passed | 0.11801 seconds |
./spec/requests/spree/orders_spec.rb[1:3:1:3]                             | passed | 0.12838 seconds |
./spec/requests/spree/orders_spec.rb[1:3:2:1]                             | passed | 0.00928 seconds |
./spec/requests/spree/orders_spec.rb[1:4:1]                               | passed | 0.10904 seconds |
./spec/requests/spree/orders_spec.rb[1:5:1]                               | passed | 0.13712 seconds |
./spec/requests/spree/orders_transitions_spec.rb[1:1:1]                   | passed | 0.10823 seconds |
./spec/requests/spree/products_spec.rb[1:1:1]                             | passed | 0.06589 seconds |
./spec/requests/spree/products_spec.rb[1:1:2]                             | passed | 0.08488 seconds |
./spec/requests/spree/products_spec.rb[1:2:1]                             | passed | 0.11236 seconds |
./spec/requests/spree/products_spec.rb[1:2:2]                             | passed | 0.11205 seconds |
./spec/requests/spree/taxons_spec.rb[1:1]                                 | passed | 0.06186 seconds |
./spec/requests/spree/user_update_spec.rb[1:1:1]                          | passed | 0.02554 seconds |
./spec/requests/spree/user_update_spec.rb[1:1:2]                          | passed | 0.0333 seconds  |
./spec/requests/spree/user_update_spec.rb[1:1:3]                          | passed | 0.02528 seconds |
./spec/system/address_spec.rb[1:1:1:1]                                    | failed | 2.42 seconds    |
./spec/system/address_spec.rb[1:1:2:1]                                    | failed | 2.31 seconds    |
./spec/system/address_spec.rb[1:1:3:1]                                    | failed | 2.21 seconds    |
./spec/system/address_spec.rb[1:2:1]                                      | failed | 2.34 seconds    |
./spec/system/authentication/account_spec.rb[1:1:1]                       | passed | 0.08479 seconds |
./spec/system/authentication/account_spec.rb[1:1:2]                       | passed | 0.10663 seconds |
./spec/system/authentication/account_spec.rb[1:1:3]                       | passed | 0.1128 seconds  |
./spec/system/authentication/change_email_spec.rb[1:1]                    | passed | 0.1463 seconds  |
./spec/system/authentication/checkout_spec.rb[1:1]                        | failed | 11.81 seconds   |
./spec/system/authentication/checkout_spec.rb[1:2:1]                      | failed | 11.93 seconds   |
./spec/system/authentication/checkout_spec.rb[1:2:2]                      | failed | 11.9 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:3]                      | failed | 11.87 seconds   |
./spec/system/authentication/checkout_spec.rb[1:2:4]                      | failed | 11.66 seconds   |
./spec/system/authentication/confirmation_spec.rb[1:1]                    | failed | 2.1 seconds     |
./spec/system/authentication/password_reset_spec.rb[1:1:1]                | passed | 0.15005 seconds |
./spec/system/authentication/password_reset_spec.rb[1:2]                  | passed | 0.05838 seconds |
./spec/system/authentication/sign_in_spec.rb[1:1]                         | passed | 0.06148 seconds |
./spec/system/authentication/sign_in_spec.rb[1:2]                         | passed | 0.04094 seconds |
./spec/system/authentication/sign_in_spec.rb[1:3]                         | passed | 0.0686 seconds  |
./spec/system/authentication/sign_out_spec.rb[1:1]                        | failed | 2.12 seconds    |
./spec/system/authentication/sign_up_spec.rb[1:1:1]                       | passed | 0.04934 seconds |
./spec/system/authentication/sign_up_spec.rb[1:2:1]                       | passed | 0.04304 seconds |
./spec/system/automatic_promotion_adjustments_spec.rb[1:1:1]              | failed | 12.09 seconds   |
./spec/system/caching/products_spec.rb[1:1]                               | passed | 0.15136 seconds |
./spec/system/caching/products_spec.rb[1:2]                               | passed | 0.15255 seconds |
./spec/system/caching/products_spec.rb[1:3]                               | passed | 0.16146 seconds |
./spec/system/caching/products_spec.rb[1:4]                               | passed | 0.16191 seconds |
./spec/system/caching/products_spec.rb[1:5]                               | passed | 0.14974 seconds |
./spec/system/caching/taxons_spec.rb[1:1]                                 | passed | 0.06747 seconds |
./spec/system/caching/taxons_spec.rb[1:2]                                 | passed | 0.06227 seconds |
./spec/system/cart_spec.rb[1:1]                                           | passed | 0.03289 seconds |
./spec/system/cart_spec.rb[1:2]                                           | failed | 11.88 seconds   |
./spec/system/cart_spec.rb[1:3]                                           | passed | 0.02476 seconds |
./spec/system/cart_spec.rb[1:4]                                           | failed | 11.36 seconds   |
./spec/system/cart_spec.rb[1:5]                                           | failed | 11.58 seconds   |
./spec/system/cart_spec.rb[1:6:1]                                         | passed | 0.22409 seconds |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:1:1:1]      | failed | 2.6 seconds     |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:2:1:1]      | failed | 2.63 seconds    |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:2:1:2]      | failed | 2.76 seconds    |
./spec/system/checkout_spec.rb[1:1:1:1]                                   | failed | 12.13 seconds   |
./spec/system/checkout_spec.rb[1:1:1:2]                                   | failed | 11.84 seconds   |
./spec/system/checkout_spec.rb[1:1:2:1]                                   | failed | 11.91 seconds   |
./spec/system/checkout_spec.rb[1:1:3:1]                                   | failed | 12.38 seconds   |
./spec/system/checkout_spec.rb[1:1:4:1]                                   | failed | 12.17 seconds   |
./spec/system/checkout_spec.rb[1:2:1:1:1]                                 | failed | 2.25 seconds    |
./spec/system/checkout_spec.rb[1:2:1:2:1]                                 | failed | 2.28 seconds    |
./spec/system/checkout_spec.rb[1:2:2:1:1]                                 | failed | 2.25 seconds    |
./spec/system/checkout_spec.rb[1:2:2:2:1:1]                               | failed | 2.24 seconds    |
